triplet_id	entity	entity_type	relationship	target	target_type	start_date	end_date	ticker	year	source_file	chunk_id
amzn_2020_page_66_chunk_3_triplet_5	amzn	ORG	produces	subscription service	PRODUCT	January 2020	December 2020	AMZN	2020	AMZN_10k_2020.pdf	chunk_3
amzn_2018_page_41_chunk_1_triplet_7	amzn	ORG	produces	advertising service	PRODUCT	January 2018	December 2018	AMZN	2018	AMZN_10k_2018.pdf	chunk_1
aapl_2018_page_29_chunk_3_triplet_4	aapl	ORG	produces	iphone	PRODUCT	January 2018	December 2018	AAPL	2018	AAPL_10k_2018.pdf	chunk_3
ctas_2014_page_16_chunk_2_triplet_3	ctas	ORG	produces	safety service	PRODUCT	January 2014	December 2014	CTAS	2014	CTAS_10k_2014.pdf	chunk_2
pm_2017_page_37_chunk_2_triplet_5	pm	ORG	produces	chesterfield	PRODUCT	January 2017	December 2017	PM	2017	PM_10k_2017.pdf	chunk_2
khc_2015_page_4_chunk_2_triplet_20	khc	ORG	produces	kraft mayo and miracle whip spoonable dressing	PRODUCT	January 2015	December 2015	KHC	2015	KHC_10k_2015.pdf	chunk_2
bf-b_2015_page_18_chunk_1_triplet_6	bf-b	ORG	produces	saw mill	PRODUCT	January 2015	December 2015	BF-B	2015	BF-B_10k_2015.pdf	chunk_1
rcl_2023_page_16_chunk_5_triplet_3	rcl	ORG	produces	trademark	PRODUCT	January 2023	December 2023	RCL	2023	RCL_10k_2023.pdf	chunk_5
cat_2022_page_131_chunk_1_triplet_38	construction industry	SEGMENT	produces	mini track excavator	PRODUCT	January 2022	December 2022	CAT	2022	CAT_10k_2022.pdf	chunk_1
vz_2018_page_20_chunk_5_triplet_2	vz	ORG	produces	cable	PRODUCT	January 2018	December 2018	VZ	2018	VZ_10k_2018.pdf	chunk_5
ctas_2014_page_15_chunk_1_triplet_10	ctas	ORG	produces	safety and fire protection product	PRODUCT	default_start_timestamp	default_end_timestamp	CTAS	2014	CTAS_10k_2014.pdf	chunk_1
cat_2024_page_4_chunk_1_triplet_7	cat	ORG	produces	off-highway diesel and natural gas engine	PRODUCT	January 2024	December 2024	CAT	2024	CAT_10k_2024.pdf	chunk_1
rcl_2020_page_16_chunk_2_triplet_18	rcl	SEGMENT	produces	tui cruise	PRODUCT	July 2024	September 2024	RCL	2020	RCL_10k_2020.pdf	chunk_2
bf-b_2016_page_4_chunk_2_triplet_22	bf-b	ORG	produces	korbel california brandy	PRODUCT	default_start_timestamp	default_end_timestamp	BF-B	2016	BF-B_10k_2016.pdf	chunk_2
tel_2020_page_5_chunk_1_triplet_7	tel	ORG	produces	wire and heat shrink tube	PRODUCT	January 2020	December 2020	TEL	2020	TEL_10k_2020.pdf	chunk_1
rcl_2017_page_57_chunk_1_triplet_4	rcl	ORG	produces	anthem of the sea	PRODUCT	January 2017	December 2017	RCL	2017	RCL_10k_2017.pdf	chunk_1
cnp_2018_page_15_chunk_3_triplet_29	cerc	SEGMENT	produces	residential appliance repair and maintenance	PRODUCT	January 2018	December 2018	CNP	2018	CNP_10k_2018.pdf	chunk_3
ctas_2014_page_38_chunk_1_triplet_10	ctas	ORG	produces	safety and fire protection product	PRODUCT	January 2014	December 2014	CTAS	2014	CTAS_10k_2014.pdf	chunk_1
pom_2015_page_329_chunk_1_triplet_5	ace	ORG	produces	basic generation service	PRODUCT	January 2015	December 2015	POM	2015	POM_10k_2015.pdf	chunk_1
cat_2015_page_93_chunk_2_triplet_4	cat	ORG	produces	machinery , energy & transportation	PRODUCT	January 2015	December 2015	CAT	2015	CAT_10k_2015.pdf	chunk_2
cat_2019_page_137_chunk_1_triplet_61	cat	ORG	produces	wheel dozer	PRODUCT	January 2019	December 2019	CAT	2019	CAT_10k_2019.pdf	chunk_1
cat_2018_page_5_chunk_3_triplet_4	cat	ORG	produces	heavy construction equipment	PRODUCT	January 2018	December 2018	CAT	2018	CAT_10k_2018.pdf	chunk_3
rcl_2019_page_17_chunk_1_triplet_4	rcl	ORG	produces	game	PRODUCT	January 2019	December 2019	RCL	2019	RCL_10k_2019.pdf	chunk_1
amzn_2018_page_67_chunk_3_triplet_13	amzn	ORG	produces	e-books	PRODUCT	January 2018	December 2018	AMZN	2018	AMZN_10k_2018.pdf	chunk_3
cat_2021_page_44_chunk_1_triplet_9	energy & transportation	SEGMENT	produces	diesel-electric locomotive	PRODUCT	January 2021	December 2021	CAT	2021	CAT_10k_2021.pdf	chunk_1
cmcsa_2015_page_174_chunk_3_triplet_20	cmcsa	ORG	produces	content	PRODUCT	January 2015	December 2015	CMCSA	2015	CMCSA_10k_2015.pdf	chunk_3
bf-b_2023_page_5_chunk_1_triplet_1	bf-b	ORG	produces	jack daniel 's rtd	PRODUCT	January 2023	December 2023	BF-B	2023	BF-B_10k_2023.pdf	chunk_1
ctas_2022_page_4_chunk_1_triplet_11	ctas	ORG	produces	test service	PRODUCT	January 2022	December 2022	CTAS	2022	CTAS_10k_2022.pdf	chunk_1
aap_2020_page_5_chunk_2_triplet_58	aap	ORG	produces	transmission fluid	PRODUCT	January 2020	December 2020	AAP	2020	AAP_10k_2020.pdf	chunk_2
tgna_2015_page_19_chunk_3_triplet_6	medium segment	SEGMENT	produces	other revenue	FIN_METRIC	January 2015	default_end_timestamp	TGNA	2015	TGNA_10k_2015.pdf	chunk_3
amzn_2022_page_53_chunk_7_triplet_27	amzn	ORG	produces	cloud service	PRODUCT	January 2022	December 2022	AMZN	2022	AMZN_10k_2022.pdf	chunk_7
cmcsa_2022_page_10_chunk_1_triplet_15	nbcuniversal	SEGMENT	produces	entertainment content	PRODUCT	January 2022	December 2022	CMCSA	2022	CMCSA_10k_2022.pdf	chunk_1
aapl_2014_page_32_chunk_7_triplet_6	aapl	ORG	produces	iphone 6 plus	PRODUCT	September 2014	September 2014	AAPL	2014	AAPL_10k_2014.pdf	chunk_7
ctas_2022_page_7_chunk_1_triplet_25	ctas	ORG	produces	hand sanitizer	PRODUCT	January 2022	December 2022	CTAS	2022	CTAS_10k_2022.pdf	chunk_1
cat_2024_page_66_chunk_1_triplet_7	cat	ORG	produces	mwm	PRODUCT	January 2024	December 2024	CAT	2024	CAT_10k_2024.pdf	chunk_1
cnp_2015_page_7_chunk_1_triplet_15	centerpoint houston	SEGMENT	produces	substation	PRODUCT	December 2015	December 2015	CNP	2015	CNP_10k_2015.pdf	chunk_1
cat_2016_page_145_chunk_1_triplet_61	energy & transportation	SEGMENT	produces	reciprocate engine	PRODUCT	January 2016	December 2016	CAT	2016	CAT_10k_2016.pdf	chunk_1
cat_2020_page_6_chunk_1_triplet_30	cat	ORG	produces	reciprocate engine	PRODUCT	January 2020	December 2020	CAT	2020	CAT_10k_2020.pdf	chunk_1
aap_2019_page_6_chunk_2_triplet_20	aap	ORG	produces	air freshener	PRODUCT	January 2019	December 2019	AAP	2019	AAP_10k_2019.pdf	chunk_2
