subject	relation	object	time_step	datetime
ITALY	026 Appeal to others to meet or negotiate	HILLARY CLINTON	27180	2018-01-19 21:00
IRELAND	043 Host a visit	BISHOP	5535	2018-01-04 20:15
RESIDENTS	090 Investigate, not specified below	SECRET POLICE	1830	2018-01-02 06:30
ISRAEL	162 Reduce or stop aid, not specified below	PALESTINIAN	31740	2018-01-23 01:00
UNITED STATES	042 Make a visit	WRITER	13215	2018-01-10 04:15
BRITAIN	141 Demonstrate or rally	THERESA MAY	12225	2018-01-09 11:45
SUDANESE	190 Use conventional military force, not specified below	STUDENT PROTESTER	11370	2018-01-08 21:30
CYPRUS	190 Use conventional military force, not specified below	TERRORIST	6720	2018-01-05 16:00
VILLAGE	057 Sign formal agreement	UNITED STATES	31605	2018-01-22 22:45
KEDAH	042 Make a visit	SCHOOL	5235	2018-01-04 15:15
UNITED KINGDOM	010 Make statement, not specified below	UNIVERSITY	28995	2018-01-21 03:15
IRAN	010 Make statement, not specified below	IRANIAN	31710	2018-01-23 00:30
EMBASSY	036 Express intent to meet or negotiate	GERMANY	24060	2018-01-17 17:00
RUSSIA	150 Demonstrate military or police power, not specified below	NATO	4500	2018-01-04 03:00
ISLAMIC	042 Make a visit	ISRAELI	25545	2018-01-18 17:45
CHINESE	042 Make a visit	FRENCH	18945	2018-01-14 03:45
HOSPITAL	042 Make a visit	GOVERNMENT	2265	2018-01-02 13:45
NEW DELHI	010 Make statement, not specified below	GOVERNMENT	2145	2018-01-02 11:45
GERMANY	020 Appeal, not specified below	UN MISSION	4830	2018-01-04 08:30
MAGAZINE	042 Make a visit	ISRAELI	11190	2018-01-08 18:30
UNITED STATES	173 Arrest, detain, or charge with legal action 	POLICE	11655	2018-01-09 02:15
POLICE	130 Threaten, not specified below	POLE	22725	2018-01-16 18:45
THE WHITE HOUSE	111 Criticize or denounce 	UNITED STATES	25920	2018-01-19 00:00
UNITED STATES	042 Make a visit	GOVERNMENT	1965	2018-01-02 08:45
AFRICA	040 Consult, not specified below	EL SALVADOR	24525	2018-01-18 00:45
MELBOURNE	173 Arrest, detain, or charge with legal action 	AUSTRALIA	10305	2018-01-08 03:45
GENERAL ASSEMBLY	051 Praise or endorse	UNITED STATES	30975	2018-01-22 12:15
UNITED STATES	010 Make statement, not specified below	ATTORNEY	27525	2018-01-20 02:45
RUSSIA	012 Make pessimistic comment	TURKISH	30345	2018-01-22 01:45
WEST BANK	190 Use conventional military force, not specified below	RABBI	24060	2018-01-17 17:00
UNITED STATES	013 Make optimistic comment	CONGRESSMAN	18795	2018-01-14 01:15
AMERICAN	043 Host a visit	HONDURAS	11265	2018-01-08 19:45
WEST BANK	181 Abduct, hijack, or take hostage 	HAMAS	20685	2018-01-15 08:45
UNITED STATES	014 Consider policy option	MILITARY	25530	2018-01-18 17:30
GUNMAN	190 Use conventional military force, not specified below	UNITED STATES	13365	2018-01-10 06:45
NORTH AMERICA	010 Make statement, not specified below	JAPAN	34050	2018-01-24 15:30
SAUDI ARABIA	043 Host a visit	LAWYER	495	2018-01-01 08:15
PANAMA	030 Express intent to cooperate, not specified below	SOUTH KOREA	32385	2018-01-23 11:45
RUSSIA	0833 Accede to demands for rights	CRIMEA	33975	2018-01-24 14:15
AFGHANISTAN	080 Yield, not specified below 	PAKISTAN	7515	2018-01-06 05:15
MUMBAI	020 Appeal, not specified below	MINISTRY	30225	2018-01-21 23:45
CRIMINAL	063 Engage in judicial cooperation	NEW ZEALAND	18990	2018-01-14 04:30
KOLKATA	127 Reject plan, agreement to settle dispute	COMPANY	15495	2018-01-11 18:15
RIYADH	030 Express intent to cooperate, not specified below	TEL AVIV	13350	2018-01-10 06:30
VANCOUVER	140 Engage in political dissent, not specified below	CONSULATE	7305	2018-01-06 01:45
JOHANNESBURG	0831 Accede to demands for change in leadership	JACOB ZUMA	11085	2018-01-08 16:45
BANK	010 Make statement, not specified below	RESIDENTS	32535	2018-01-23 14:15
UNITED STATES	057 Sign formal agreement	CANADA	15390	2018-01-11 16:30
MADRID	084 Return, release, not specified below	SPAIN	5220	2018-01-04 15:00
OBAMA	042 Make a visit	UNITED KINGDOM	4800	2018-01-04 08:00
NIGERIA	020 Appeal, not specified below	JOURNALIST	16860	2018-01-12 17:00
PHILIPPINE	036 Express intent to meet or negotiate	PRESIDENT	4980	2018-01-04 11:00
SHENZHEN	166 Expel or withdraw, not specified below	UNITED STATES	16050	2018-01-12 03:30
GOVERNANCE	190 Use conventional military force, not specified below	UNITED STATES	15615	2018-01-11 20:15
